exp2/qos1_4096b1000ms_2.csv: 61/61, 3.70 ms
exp2/qos1_4096b1000ms_3.csv: 61/61, 3.69 ms
exp2/qos1_4096b3000ms_1.csv: 21/21, 3.76 ms
exp2/qos1_4096b3000ms_2.csv: 21/21, 3.48 ms
exp2/qos1_4096b3000ms_3.csv: 21/21, 3.76 ms
exp2/qos1_4096b5000ms_1.csv: 13/13, 3.15 ms
exp2/qos1_4096b5000ms_2.csv: 13/13, 3.23 ms
exp2/qos1_4096b5000ms_3.csv: 13/13, 3.38 ms
exp2/qos2_4096b10ms_1.csv: 5756/5756, 23.68 ms
exp2/qos2_4096b10ms_2.csv: 5753/5753, 23.43 ms
exp2/qos2_4096b10ms_3.csv: 5731/5731, 23.42 ms
exp2/qos2_4096b1000ms_1.csv: 61/61, 2.59 ms
exp2/qos2_4096b1000ms_2.csv: 61/61, 3.82 ms
exp2/qos2_4096b1000ms_3.csv: 61/61, 3.66 ms
exp2/qos2_4096b3000ms_1.csv: 21/21, 3.43 ms
exp2/qos2_4096b3000ms_2.csv: 21/21, 3.38 ms
exp2/qos2_4096b3000ms_3.csv: 21/21, 3.33 ms
exp2/qos2_4096b5000ms_1.csv: 13/13, 3.23 ms
exp2/qos2_4096b5000ms_2.csv: 13/13, 3.31 ms
exp2/qos2_4096b5000ms_3.csv: 13/13, 3.46 ms

exp2/qos0_512b0ms_0.csv: 49073/49073, 3.06 ms
exp2/qos0_512b0ms_1.csv: 49527/49527, 1.02 ms
exp2/qos0_512b0ms_2.csv: 49605/49605, 2.58 ms
exp2/qos0_512b0ms_3.csv: 49608/49608, 2.17 ms
exp2/qos0_512b10ms_1.csv: 5758/5758, 2.06 ms
exp2/qos0_512b10ms_2.csv: 5755/5755, 2.00 ms
exp2/qos0_512b10ms_3.csv: 5755/5755, 1.96 ms
exp2/qos0_512b20ms_1.csv: 2933/2933, 2.26 ms
exp2/qos0_512b20ms_2.csv: 2932/2932, 2.30 ms
exp2/qos0_512b20ms_3.csv: 2932/2932, 2.29 ms
exp2/qos0_512b40ms_1.csv: 1483/1483, 2.46 ms
