s,us,a,chegada,envio,delay_ms,jitter_ms
1616294982,359472,1234abcdefghijklmnopqrstuvwxyz,1616294982379,1616294982359,20,2
1616294982,461472,1234abcdefghijklmnopqrstuvwxyz,1616294982477,1616294982461,16,4
1616294982,563470,1234abcdefghijklmnopqrstuvwxyz,1616294982581,1616294982563,18,2
1616294982,666473,1234abcdefghijklmnopqrstuvwxyz,1616294982683,1616294982666,17,1
1616294982,768472,1234abcdefghijklmnopqrstuvwxyz,1616294982786,1616294982768,18,1
1616294982,871472,1234abcdefghijklmnopqrstuvwxyz,1616294982888,1616294982871,17,1
1616294982,973473,1234abcdefghijklmnopqrstuvwxyz,1616294982099,1616294982973,874,857
1616294983,75469,1234abcdefghijklmnopqrstuvwxyz,1616294983093,1616294983075,18,856
1616294983,178472,1234abcdefghijklmnopqrstuvwxyz,1616294983194,1616294983178,16,2
1616294983,280472,1234abcdefghijklmnopqrstuvwxyz,1616294983298,1616294983280,18,2
1616294983,383472,1234abcdefghijklmnopqrstuvwxyz,1616294983399,1616294983383,16,2
1616294983,485472,1234abcdefghijklmnopqrstuvwxyz,1616294983005,1616294983485,480,464
1616294983,587469,1234abcdefghijklmnopqrstuvwxyz,1616294983605,1616294983587,18,462
1616294983,690472,1234abcdefghijklmnopqrstuvwxyz,1616294983709,1616294983690,19,1
1616294983,792472,1234abcdefghijklmnopqrstuvwxyz,1616294983814,1616294983792,22,3
1616294983,895472,1234abcdefghijklmnopqrstuvwxyz,1616294983911,1616294983895,16,6
1616294983,997473,1234abcdefghijklmnopqrstuvwxyz,1616294984012,1616294983997,15,1
1616294984,99469,1234abcdefghijklmnopqrstuvwxyz,1616294984128,1616294984099,29,14
1616294984,202473,1234abcdefghijklmnopqrstuvwxyz,1616294984218,1616294984202,16,13
1616294984,304476,1234abcdefghijklmnopqrstuvwxyz,1616294984032,1616294984304,272,256
1616294984,407472,1234abcdefghijklmnopqrstuvwxyz,1616294984422,1616294984407,15,257
1616294984,509475,1234abcdefghijklmnopqrstuvwxyz,1616294984524,1616294984509,15,0
1616294984,611469,1234abcdefghijklmnopqrstuvwxyz,1616294984626,1616294984611,15,0
1616294984,714472,1234abcdefghijklmnopqrstuvwxyz,1616294984729,1616294984714,15,0
1616294984,816476,1234abcdefghijklmnopqrstuvwxyz,1616294984833,1616294984816,17,2
1616294984,919472,1234abcdefghijklmnopqrstuvwxyz,1616294984094,1616294984919,825,808
1616294985,21474,1234abcdefghijklmnopqrstuvwxyz,1616294985039,1616294985021,18,807
1616294985,123469,1234abcdefghijklmnopqrstuvwxyz,1616294985142,1616294985123,19,1
1616294985,226472,1234abcdefghijklmnopqrstuvwxyz,1616294985241,1616294985226,15,4
1616294985,328475,1234abcdefghijklmnopqrstuvwxyz,1616294985348,1616294985328,20,5
1616294985,431472,1234abcdefghijklmnopqrstuvwxyz,1616294985452,1616294985431,21,1
1616294985,533475,1234abcdefghijklmnopqrstuvwxyz,1616294985551,1616294985533,18,3
1616294985,635469,1234abcdefghijklmnopqrstuvwxyz,1616294985653,1616294985635,18,0
1616294985,738473,1234abcdefghijklmnopqrstuvwxyz,1616294985755,1616294985738,17,1
1616294985,840475,1234abcdefghijklmnopqrstuvwxyz,1616294985856,1616294985840,16,1
1616294985,943473,1234abcdefghijklmnopqrstuvwxyz,1616294985959,1616294985943,16,0
1616294986,45475,1234abcdefghijklmnopqrstuvwxyz,1616294986062,1616294986045,17,1
1616294986,147469,1234abcdefghijklmnopqrstuvwxyz,1616294986163,1616294986147,16,1
1616294986,250472,1234abcdefghijklmnopqrstuvwxyz,1616294986027,1616294986250,223,207
1616294986,352473,1234abcdefghijklmnopqrstuvwxyz,1616294986369,1616294986352,17,206
1616294986,455472,1234abcdefghijklmnopqrstuvwxyz,1616294986472,1616294986455,17,0
1616294986,557472,1234abcdefghijklmnopqrstuvwxyz,1616294986574,1616294986557,17,0
1616294986,659469,1234abcdefghijklmnopqrstuvwxyz,1616294986676,1616294986659,17,0
1616294986,762472,1234abcdefghijklmnopqrstuvwxyz,1616294986078,1616294986762,684,667
1616294986,864475,1234abcdefghijklmnopqrstuvwxyz,1616294986884,1616294986864,20,664
1616294986,967472,1234abcdefghijklmnopqrstuvwxyz,1616294986099,1616294986967,868,848
1616294987,69472,1234abcdefghijklmnopqrstuvwxyz,1616294987088,1616294987069,19,849
1616294987,171469,1234abcdefghijklmnopqrstuvwxyz,1616294987188,1616294987171,17,2
1616294987,274472,1234abcdefghijklmnopqrstuvwxyz,1616294987289,1616294987274,15,2
1616294987,376477,1234abcdefghijklmnopqrstuvwxyz,1616294987393,1616294987376,17,2
1616294987,479472,1234abcdefghijklmnopqrstuvwxyz,1616294987494,1616294987479,15,2
1616294987,581472,1234abcdefghijklmnopqrstuvwxyz,1616294987596,1616294987581,15,0
1616294987,683469,1234abcdefghijklmnopqrstuvwxyz,1616294987699,1616294987683,16,1
1616294987,786472,1234abcdefghijklmnopqrstuvwxyz,1616294987801,1616294987786,15,1
1616294987,888475,1234abcdefghijklmnopqrstuvwxyz,1616294987905,1616294987888,17,2
1616294987,991472,1234abcdefghijklmnopqrstuvwxyz,1616294988008,1616294987991,17,0
1616294988,93472,1234abcdefghijklmnopqrstuvwxyz,1616294988011,1616294988093,82,65
1616294988,195469,1234abcdefghijklmnopqrstuvwxyz,1616294988214,1616294988195,19,63
1616294988,298472,1234abcdefghijklmnopqrstuvwxyz,1616294988317,1616294988298,19,0
1616294988,400473,1234abcdefghijklmnopqrstuvwxyz,1616294988418,1616294988400,18,1
1616294988,503472,1234abcdefghijklmnopqrstuvwxyz,1616294988519,1616294988503,16,2
1616294988,605473,1234abcdefghijklmnopqrstuvwxyz,1616294988062,1616294988605,543,527
1616294988,707469,1234abcdefghijklmnopqrstuvwxyz,1616294988725,1616294988707,18,525
1616294988,810472,1234abcdefghijklmnopqrstuvwxyz,1616294988825,1616294988810,15,3
1616294988,912472,1234abcdefghijklmnopqrstuvwxyz,1616294988927,1616294988912,15,0
1616294989,15473,1234abcdefghijklmnopqrstuvwxyz,1616294989003,1616294989015,12,3
1616294989,117473,1234abcdefghijklmnopqrstuvwxyz,1616294989135,1616294989117,18,6
1616294989,220472,1234abcdefghijklmnopqrstuvwxyz,1616294989236,1616294989220,16,2
1616294989,322472,1234abcdefghijklmnopqrstuvwxyz,1616294989339,1616294989322,17,1
1616294989,424475,1234abcdefghijklmnopqrstuvwxyz,1616294989441,1616294989424,17,0
1616294989,527473,1234abcdefghijklmnopqrstuvwxyz,1616294989544,1616294989527,17,0
1616294989,629472,1234abcdefghijklmnopqrstuvwxyz,1616294989646,1616294989629,17,0
1616294989,732472,1234abcdefghijklmnopqrstuvwxyz,1616294989749,1616294989732,17,0
1616294989,834472,1234abcdefghijklmnopqrstuvwxyz,1616294989852,1616294989834,18,1
1616294989,936472,1234abcdefghijklmnopqrstuvwxyz,1616294989954,1616294989936,18,0
1616294990,39472,1234abcdefghijklmnopqrstuvwxyz,1616294990055,1616294990039,16,2
1616294990,141472,1234abcdefghijklmnopqrstuvwxyz,1616294990156,1616294990141,15,1
1616294990,244473,1234abcdefghijklmnopqrstuvwxyz,1616294990026,1616294990244,218,203
1616294990,346473,1234abcdefghijklmnopqrstuvwxyz,1616294990361,1616294990346,15,203
1616294990,448469,1234abcdefghijklmnopqrstuvwxyz,1616294990463,1616294990448,15,0
1616294990,551472,1234abcdefghijklmnopqrstuvwxyz,1616294990566,1616294990551,15,0
1616294990,653472,1234abcdefghijklmnopqrstuvwxyz,1616294990668,1616294990653,15,0
1616294990,756472,1234abcdefghijklmnopqrstuvwxyz,1616294990772,1616294990756,16,1
